	gi|410491675|ref|YP_006906897.1|	gi|410491180|ref|YP_006906402.1|	gi|410491776|ref|YP_006906998.1|	gi|410490805|ref|YP_006906027.1|	gi|410491319|ref|YP_006906541.1|	gi|410491862|ref|YP_006907130.1|	gi|410491366|ref|YP_006906588.1|	gi|410491551|ref|YP_006906773.1|	gi|410507466|ref|YP_006907084.1|	gi|410491272|ref|YP_006906494.1|	gi|713322753|ref|YP_009102368.1|	gi|422934581|ref|YP_007004542.1|	gi|712914998|ref|YP_009102635.1|	gi|713322464|ref|YP_009098548.1|	gi|431811068|ref|YP_007238135.1|	gi|9634120|ref|NP_037662.1|	gi|9634165|ref|NP_037697.1|	gi|356870678|ref|YP_004934108.1|	gi|401817591|ref|YP_006590033.1|	gi|30387380|ref|NP_848209.1|	gi|155370097|ref|YP_512255.2|	gi|418487632|ref|YP_007001972.1|	gi|414088503|ref|YP_006988681.1|	gi|414089191|ref|YP_006989359.1|	gi|414088030|ref|YP_006988213.1|	gi|414089560|ref|YP_006989712.1|	gi|414088836|ref|YP_006989009.1|	gi|414089910|ref|YP_006990057.1|	gi|658607725|ref|YP_009044728.1|	gi|399528545|ref|YP_006560467.1|	gi|658607992|ref|YP_009044962.1|	gi|472437228|ref|YP_007676639.1|	gi|658607314|ref|YP_009044305.1|	gi|472438189|ref|YP_007677968.1|	gi|658607773|ref|YP_009044771.1|	gi|658607897|ref|YP_009044882.1|	gi|658607945|ref|YP_009044923.1|	gi|658607213|ref|YP_009044218.1|	gi|115315629|ref|YP_764315.1|	gi|9629654|ref|NP_044947.1|	gi|194097522|ref|YP_002003989.1|	gi|115315573|ref|YP_764260.1|	gi|115304211|ref|YP_762512.1|	gi|422934279|ref|YP_007004320.1|	gi|51236745|ref|YP_063714.1|	gi|24371584|ref|NP_720325.1|	gi|389060536|ref|YP_006383887.1|	gi|422934327|ref|YP_007004361.1|	gi|392972711|ref|YP_006488671.1|	gi|589892714|ref|YP_009009150.1|	gi|526003597|ref|YP_008239542.1|	gi|239507397|ref|YP_002939708.1|	gi|658310460|ref|YP_009042650.1|	gi|712916121|ref|YP_009103886.1|	gi|225626398|ref|YP_002727893.1|	gi|589287155|ref|YP_009008899.1|	gi|327198110|ref|YP_004306640.1|	gi|589893044|ref|YP_009004371.1|	gi|21716107|ref|NP_663670.1|	gi|658608066|ref|YP_009045030.1|	gi|526244907|ref|YP_008320235.1|	gi|589286628|ref|YP_009006566.1|	gi|589286244|ref|YP_009005233.1|	gi|56694901|ref|YP_164411.1|	gi|197261558|ref|YP_002154373.1|	gi|712912424|ref|YP_009099335.1|	gi|31544027|ref|NP_852752.1|	gi|327198524|ref|YP_004327111.1|	gi|571798129|ref|YP_008770508.1|	gi|568191533|ref|YP_008771319.1|	gi|56692920|ref|YP_164302.1|	gi|431809885|ref|YP_007236774.1|	gi|401723040|ref|YP_006589958.1|	gi|388570782|ref|YP_006383765.1|	gi|423262378|ref|YP_007010971.1|	gi|410490644|ref|YP_006905866.1|	gi|658311423|ref|YP_009044178.1|	gi|658608195|ref|YP_009045152.1|	gi|431810359|ref|YP_007237241.1|	gi|414090228|ref|YP_006990345.1|	gi|238801894|ref|YP_002925097.1|	gi|66391761|ref|YP_238485.1|	gi|273809772|ref|YP_003344847.1|	gi|118430761|ref|YP_873986.1|	gi|526178059|ref|YP_008241884.1|	gi|388570350|ref|YP_006382290.1|	gi|189427163|ref|YP_001949839.1|	gi|215401205|ref|YP_002332510.1|	gi|431809503|ref|YP_007236397.1|	gi|157311160|ref|YP_001469205.1|	gi|16798784|ref|NP_463462.1|	gi|658607661|ref|YP_009044672.1|	gi|90592609|ref|YP_529869.1|	gi|23455798|ref|NP_695171.1|	gi|589286245|ref|YP_009005234.1|	gi|62909765|ref|YP_227604.1|	gi|560185958|ref|YP_008853724.1|	gi|593779760|ref|YP_009017588.1|	gi|23505446|ref|NP_700374.1|	gi|418489384|ref|YP_007003201.1|	gi|77999989|ref|YP_358759.1|	gi|48697259|ref|YP_025026.1|	gi|219563198|ref|YP_002455790.1|	gi|281416386|ref|YP_003347410.1|	gi|9632896|ref|NP_049925.1|	gi|418489801|ref|YP_007003553.1|	gi|30089891|ref|NP_839921.1|	gi|589893763|ref|YP_009010472.1|	gi|281416464|ref|YP_003347384.1|	gi|589286873|ref|YP_009007068.1|	gi|418487841|ref|YP_007002072.1|	gi|418487691|ref|YP_007002014.1|	gi|62362370|ref|YP_224235.1|	gi|389060403|ref|YP_006383610.1|	gi|422935503|ref|YP_007005399.1|	gi|81343947|ref|YP_398963.1|	gi|45686308|ref|YP_003891.1|	gi|330858470|ref|YP_004414845.1|	gi|712912864|ref|YP_009099719.1|	gi|399529107|ref|YP_006561152.1|	gi|422936742|ref|YP_007007009.1|	gi|526176468|ref|YP_008240294.1|	gi|414090193|ref|YP_006990310.1|	gi|41179311|ref|NP_958529.1|	gi|410491821|ref|YP_006907043.1|	gi|388604638|ref|YP_006382530.1|	gi|589287064|ref|YP_009007857.1|	gi|448260094|ref|YP_007237471.1|	gi|568191883|ref|YP_008771667.1|	gi|609216899|ref|YP_008770876.1|	gi|460042513|ref|YP_007517943.1|	gi|113200616|ref|YP_717779.1|	gi|557307673|ref|YP_008767000.1|	gi|557307849|ref|YP_008767172.1|	gi|392972774|ref|YP_006488733.1|	gi|643319056|ref|YP_009036372.1|	gi|41179239|ref|NP_958578.1|	gi|422935567|ref|YP_007005468.1|	gi|410491651|ref|YP_006906873.1|	gi|418487072|ref|YP_007001466.1|	gi|116222004|ref|YP_794059.1|	gi|589890684|ref|YP_009006539.1|	gi|167600488|ref|YP_001671987.1|	gi|557307465|ref|YP_008766810.1|	gi|563399074|ref|YP_008858919.1|	gi|563399591|ref|YP_008859431.1|	gi|356870601|ref|YP_004934031.1|	gi|526177162|ref|YP_008241011.1|	gi|526177519|ref|YP_008241351.1|	gi|526177094|ref|YP_008240947.1|	gi|589893826|ref|YP_009010711.1|	gi|526177931|ref|YP_008241758.1|	gi|13559865|ref|NP_112075.1|	gi|53793590|ref|YP_112490.1|	gi|658310639|ref|YP_009042880.1|	gi|658607525|ref|YP_009044543.1|	gi|9632419|ref|NP_049391.1|	gi|526178334|ref|YP_008242156.1|	gi|89152480|ref|YP_512311.1|	gi|85701380|ref|YP_459965.1|	gi|418489112|ref|YP_007002966.1|	gi|20065964|ref|NP_612830.1|	gi|215401145|ref|YP_002332400.1|	gi|509139913|ref|YP_008058799.1|	gi|156603993|ref|YP_001429939.1|	gi|12719429|ref|NP_075500.1|	gi|148727154|ref|YP_001285648.1|	gi|109289941|ref|YP_655473.1|	gi|525972259|ref|YP_008239783.1|	gi|589891998|ref|YP_009008365.1|	gi|431809797|ref|YP_007236687.1|	gi|460042902|ref|YP_007518356.1|	gi|281416253|ref|YP_003347602.1|	gi|658607811|ref|YP_009044802.1|	gi|126011093|ref|YP_001039918.1|	gi|90592638|ref|YP_529552.1|	gi|589892181|ref|YP_009008546.1|	gi|167832346|ref|YP_001686737.1|	gi|213163901|ref|YP_002321453.1|	gi|658307382|ref|YP_009043080.1|	gi|281416361|ref|YP_003347495.1|	gi|281416254|ref|YP_003347603.1|	gi|326536848|ref|YP_004306102.1|	gi|17488504|ref|NP_510982.1|	gi|422935795|ref|YP_007005694.1|	gi|712915294|ref|YP_009102786.1|	gi|389060323|ref|YP_006383454.1|	gi|333798108|ref|YP_004508379.1|	gi|134287336|ref|YP_001110719.1|	gi|209901238|ref|YP_002290877.1|	gi|414090366|ref|YP_006990479.1|
gi|389060536|ref|YP_006383887.1|	 20.37	 18.52	 21.88	 21.88	 20.31	 21.88	 18.75	 21.88	 20.31	 20.31	 17.14	 10.91	 10.91	 10.91	 23.81	 21.43	 21.43	 21.43	 15.09	 11.76	 17.78	 14.71	 16.67	 14.04	 17.54	 17.54	 17.54	 17.54	3.03	3.03	3.03	3.03	3.03	3.03	3.03	3.03	3.03	3.03	 12.28	 12.28	 12.28	 12.28	 12.28	 82.72	 97.53	 98.15	100.00	 18.42	 18.42	 15.15	 25.00	 25.00	 21.05	 19.05	 19.05	 21.43	 23.81	 21.43	8.00	 10.87	 10.87	 12.82	 12.82	 23.08	 11.65	 11.65	 13.95	 16.28	 16.28	 16.28	 20.41	 20.93	 20.93	 19.57	 13.04	 17.02	 17.02	 17.02	6.98	 26.19	 13.51	 13.51	 13.51	 19.51	 19.51	 19.51	 16.00	 18.60	 14.00	 22.86	 12.96	 12.96	 21.28	 14.89	 10.75	 21.74	 20.00	 16.00	 18.52	 26.67	 28.95	 31.58	 24.24	 29.63	 25.00	 25.00	 27.59	1.64	6.56	6.67	9.09	9.09	8.96	 25.71	 17.91	 28.36	 20.90	 20.90	7.89	9.09	8.45	8.57	8.57	 13.64	9.09	 10.00	 10.00	 17.86	 18.87	 18.87	 20.00	 10.00	 12.20	 13.58	 13.24	 11.76	 16.67	7.14	5.41	5.41	5.41	 19.05	4.55	4.55	0.00	6.67	 16.67	 15.69	 15.69	 15.69	5.77	9.09	6.38	8.62	2.13	2.13	4.44	9.33	 21.31	 21.31	 16.67	 11.48	 13.04	 13.04	 13.64	 13.64	6.41	 13.58	 13.58	 11.43	6.52	 14.81	 10.45	7.14	 11.90	 10.64	6.45	6.78	 14.71	3.33	 12.79	 11.11	 19.40	 13.79	 14.94	5.13	 12.22	9.09	 13.75	 15.00	 15.00
gi|422934327|ref|YP_007004361.1|	 13.79	 13.79	 17.24	 17.24	 13.79	 17.24	 13.79	 17.24	 13.79	 13.79	8.47	8.33	8.33	8.33	 18.75	 17.71	 17.71	 17.71	 12.26	 10.09	 11.11	 11.11	6.94	 13.51	 13.51	 13.51	 13.51	 13.51	 14.81	 14.81	 14.81	 14.81	 14.81	 13.58	 15.07	 13.70	 13.70	 13.70	 18.75	 18.75	 18.75	 18.75	 18.75	 18.42	 18.42	 18.42	 18.42	100.00	 98.20	100.00	 33.55	 33.55	 25.83	 26.67	 26.67	 25.33	 23.33	 22.00	9.68	9.68	9.68	 13.68	 13.68	 13.00	 13.08	 12.38	 11.54	8.82	9.68	9.68	 13.91	8.33	 13.39	 13.33	 11.67	 10.45	 10.45	 10.45	 17.46	9.38	 14.06	 14.06	 14.06	 11.43	 11.43	 11.43	 10.39	 10.39	 11.27	 15.00	8.33	9.72	 18.18	 12.12	8.33	 20.39	 20.00	 24.76	 23.85	 23.81	 21.90	 20.95	 22.73	 18.31	 19.39	 21.43	 16.33	0.00	5.56	7.69	 12.50	 12.50	 18.92	 13.33	6.90	7.14	3.33	3.33	 13.70	 10.81	9.59	8.22	8.22	8.51	 12.24	 11.11	8.89	 11.67	7.41	7.41	 11.59	 10.81	5.88	5.88	9.38	 12.90	 12.24	5.88	5.97	5.97	5.97	8.33	9.30	9.30	8.51	8.70	 12.68	1.61	1.61	1.61	 15.00	3.39	 12.00	7.41	 12.00	 12.00	9.09	 11.32	 18.37	 18.37	 14.29	 20.75	 15.69	 15.69	 15.69	 15.69	 13.24	 12.50	 12.50	4.17	0.00	9.26	5.26	9.09	4.17	0.00	 12.50	5.17	5.71	9.09	6.52	5.26	5.71	 10.96	6.06	 12.50	7.37	4.71	5.95	6.74	6.74
gi|392972711|ref|YP_006488671.1|	 13.79	 13.79	 17.24	 17.24	 13.79	 17.24	 13.79	 17.24	 13.79	 13.79	8.47	8.33	8.33	8.33	 18.75	 17.71	 17.71	 17.71	 12.26	 10.09	 11.11	 11.11	6.94	 13.51	 13.51	 13.51	 13.51	 13.51	 14.81	 14.81	 14.81	 14.81	 14.81	 13.58	 15.07	 13.70	 13.70	 13.70	 18.75	 18.75	 18.75	 18.75	 18.75	 18.42	 18.42	 18.42	 18.42	 98.20	100.00	100.00	 34.21	 34.21	 25.17	 27.33	 27.33	 26.00	 23.33	 22.00	9.68	9.68	9.68	 13.68	 13.68	 13.00	 14.02	 13.33	 11.54	8.82	 10.75	 10.75	 13.91	8.33	 13.39	 13.33	 11.67	 10.45	 10.45	 10.45	 17.46	9.38	 14.06	 14.06	 14.06	 11.43	 11.43	 11.43	 10.39	 10.39	 11.27	 15.00	8.33	9.72	 18.18	 12.12	 10.00	 20.39	 20.00	 24.76	 23.85	 23.81	 21.90	 20.95	 22.73	 19.72	 19.39	 22.45	 16.33	0.00	3.70	7.69	 12.50	 12.50	 18.92	 13.33	 10.34	7.14	3.33	3.33	 13.70	 10.81	9.59	8.22	8.22	8.51	 10.20	 11.11	8.89	 11.67	7.41	7.41	 11.59	 10.81	5.88	5.88	9.38	 12.90	 12.24	5.88	5.97	5.97	5.97	 10.42	9.30	9.30	8.51	 10.87	 12.68	1.61	1.61	1.61	 15.00	3.39	 12.00	7.41	 12.00	 12.00	9.09	 11.32	 18.37	 18.37	 14.29	 20.75	 15.69	 15.69	 15.69	 15.69	 13.24	 14.06	 14.06	4.17	0.00	9.26	7.89	9.09	4.17	0.00	 12.50	5.17	4.29	9.09	6.52	5.26	5.71	 10.96	6.06	 12.50	7.37	4.71	5.95	6.74	6.74
gi|589892714|ref|YP_009009150.1|	 10.00	 10.00	 15.00	 15.00	 10.00	 15.00	 10.00	 15.00	 10.00	 10.00	 10.00	 10.00	 10.00	 10.00	 17.24	 17.24	 17.24	 17.24	3.12	2.94	5.88	5.88	8.57	 13.51	 13.51	 13.51	 13.51	 13.51	 16.13	 16.13	 16.13	 16.13	 16.13	 16.13	 12.90	 12.90	 12.90	 12.90	-nan	-nan	-nan	-nan	-nan	 15.15	 15.15	 15.15	 15.15	100.00	100.00	100.00	 28.57	 28.57	 24.32	 29.73	 29.73	 29.73	 21.62	 21.62	 11.54	0.00	0.00	 23.81	 23.81	 15.38	 13.33	 12.90	 16.00	4.55	9.09	9.09	 17.86	9.09	 13.64	 13.64	0.00	 12.00	 12.00	 12.00	 13.64	0.00	 11.11	 11.11	 11.11	4.55	4.55	4.55	9.09	9.09	 11.54	 13.33	7.14	7.14	 13.64	9.09	-nan	 29.17	 29.63	 23.08	 22.22	 25.93	 25.00	 21.43	 25.93	 22.22	 18.52	 25.93	 22.22	0.00	 11.11	 11.11	 16.67	 16.67	 27.78	-nan	-nan	-nan	-nan	-nan	 10.53	0.00	0.00	0.00	0.00	-nan	 14.29	 33.33	0.00	 25.00	 14.29	 14.29	 20.00	 15.38	 20.00	 20.00	 25.00	 25.00	 25.00	0.00	 11.76	 11.76	 11.76	 15.38	7.14	7.14	0.00	 14.29	 14.29	0.00	0.00	0.00	0.00	0.00	 50.00	-nan	 22.22	 22.22	 10.71	 20.00	 37.50	 37.50	 20.83	 47.62	 36.84	 36.84	 36.84	 36.84	 10.00	8.33	8.33	0.00	-nan	0.00	5.26	0.00	0.00	-nan	 20.00	0.00	5.88	 22.22	0.00	3.03	5.26	4.55	 13.64	-nan	 11.76	2.94	3.23	2.70	2.70
gi|526003597|ref|YP_008239542.1|	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	 12.07	 13.56	 13.56	 13.56	 15.56	 14.44	 14.44	 14.44	 13.54	8.08	9.18	9.18	 10.77	 13.43	 14.93	 14.93	 14.93	 14.93	9.46	9.46	9.46	9.46	9.46	9.46	 17.39	 15.94	 17.39	 17.39	 13.79	 13.79	 13.79	 13.79	 13.79	 25.00	 25.00	 25.00	 25.00	 33.55	 34.21	 28.57	100.00	100.00	 32.45	 32.67	 32.67	 31.33	 32.67	 32.00	8.93	 12.96	 12.96	7.14	7.14	 13.48	 17.02	 19.57	8.33	 12.90	 10.84	 10.84	 14.29	 10.31	 15.84	 14.81	 16.67	 14.75	 13.11	 14.75	 19.30	 17.24	 18.97	 18.97	 18.97	 20.63	 20.63	 20.63	 17.91	 17.91	 15.15	 18.52	 13.43	 17.91	 14.75	 16.39	 11.32	 21.05	 26.00	 21.65	 19.80	 26.26	 23.00	 23.00	 24.24	 22.06	 21.28	 22.34	 20.21	4.76	4.00	5.71	5.56	5.56	3.03	4.00	0.00	8.70	4.00	4.00	9.86	4.17	7.04	5.63	5.63	 12.20	7.14	7.89	 13.16	 16.67	 12.50	 12.50	 10.29	5.48	7.14	7.14	6.90	7.14	4.44	4.00	6.15	6.15	6.15	8.33	 13.95	 13.95	6.52	 13.33	8.82	8.93	8.93	8.93	 10.71	7.27	9.09	8.00	4.35	4.35	5.63	 10.00	 29.55	 29.55	 15.91	 16.33	 12.77	 12.77	 12.77	 12.77	 10.94	9.52	9.52	6.38	0.00	 14.89	 10.53	 13.64	4.17	4.17	 18.18	 13.46	 10.94	4.17	 12.20	 13.46	 11.29	 11.11	 15.87	 50.00	 10.59	8.86	8.00	8.64	8.64
gi|239507397|ref|YP_002939708.1|	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	 12.07	 13.56	 13.56	 13.56	 15.56	 14.44	 14.44	 14.44	 13.54	8.08	9.18	9.18	 10.77	 13.43	 14.93	 14.93	 14.93	 14.93	9.46	9.46	9.46	9.46	9.46	9.46	 17.39	 15.94	 17.39	 17.39	 13.79	 13.79	 13.79	 13.79	 13.79	 25.00	 25.00	 25.00	 25.00	 33.55	 34.21	 28.57	100.00	100.00	 32.45	 32.67	 32.67	 31.33	 32.67	 32.00	8.93	 12.96	 12.96	7.14	7.14	 13.48	 17.02	 19.57	8.33	 12.90	 10.84	 10.84	 14.29	 10.31	 15.84	 14.81	 16.67	 14.75	 13.11	 14.75	 19.30	 17.24	 18.97	 18.97	 18.97	 20.63	 20.63	 20.63	 17.91	 17.91	 15.15	 18.52	 13.43	 17.91	 14.75	 16.39	 11.32	 21.05	 26.00	 21.65	 19.80	 26.26	 23.00	 23.00	 24.24	 22.06	 21.28	 22.34	 20.21	4.76	4.00	5.71	5.56	5.56	3.03	4.00	0.00	8.70	4.00	4.00	9.86	4.17	7.04	5.63	5.63	 12.20	7.14	7.89	 13.16	 16.67	 12.50	 12.50	 10.29	5.48	7.14	7.14	6.90	7.14	4.44	4.00	6.15	6.15	6.15	8.33	 13.95	 13.95	6.52	 13.33	8.82	8.93	8.93	8.93	 10.71	7.27	9.09	8.00	4.35	4.35	5.63	 10.00	 29.55	 29.55	 15.91	 16.33	 12.77	 12.77	 12.77	 12.77	 10.94	9.52	9.52	6.38	0.00	 14.89	 10.53	 13.64	4.17	4.17	 18.18	 13.46	 10.94	4.17	 12.20	 13.46	 11.29	 11.11	 15.87	 50.00	 10.59	8.86	8.00	8.64	8.64
gi|658310460|ref|YP_009042650.1|	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	 13.33	3.33	4.92	4.92	4.92	 17.20	 16.13	 16.13	 16.13	 13.27	 11.88	 10.00	 10.00	 10.29	 11.43	 12.86	 12.86	 12.86	 12.86	 13.16	 13.16	 13.16	 13.16	 13.16	 13.16	 12.68	 11.27	 12.68	 12.68	 13.79	 13.79	 13.79	 13.79	 13.79	 21.05	 21.05	 21.05	 21.05	 25.83	 25.17	 24.32	 32.45	 32.45	100.00	 66.01	 66.01	 66.01	 53.59	 54.90	8.77	8.77	8.77	9.41	9.41	 13.33	 13.40	 14.74	 13.70	 15.87	 10.71	 10.71	 16.04	 12.24	 13.73	 12.73	9.09	 11.29	 11.29	 11.29	8.62	 13.56	 15.25	 15.25	 15.25	 14.06	 14.06	 14.06	 11.76	 10.29	 11.94	 18.18	8.82	 10.29	 11.29	6.45	 15.38	 17.02	 34.00	 25.00	 22.00	 24.24	 23.23	 23.23	 30.61	 28.36	 26.88	 22.58	 20.43	0.00	 10.20	8.82	 14.29	 14.29	6.25	4.00	0.00	4.35	4.00	4.00	 13.04	8.57	8.70	7.25	7.25	 12.82	 12.20	 13.51	 10.81	 15.38	 17.39	 17.39	 10.45	4.17	 14.29	 14.29	 11.11	7.69	6.98	0.00	7.94	7.94	7.94	8.33	6.98	6.98	8.89	9.09	7.35	5.26	5.26	5.26	 14.55	9.26	9.30	 10.20	 20.00	 20.00	 11.27	 10.20	 30.23	 30.23	 23.26	 17.02	 18.18	 18.18	 18.18	 18.18	 16.39	6.56	6.56	6.67	0.00	6.52	8.33	5.00	4.55	0.00	8.33	7.84	8.33	 17.39	8.64	 15.09	8.33	 12.70	 14.52	 18.18	 11.76	 11.54	 13.51	 13.75	 13.75
gi|712916121|ref|YP_009103886.1|	8.82	8.82	 11.76	 11.76	8.82	 11.76	8.82	 11.76	8.82	8.82	7.94	9.38	9.38	9.38	 19.59	 18.56	 18.56	 18.56	 11.22	 10.89	 12.00	 12.00	9.72	 10.81	 10.81	 10.81	 10.81	 10.81	 14.47	 14.47	 14.47	 14.47	 14.47	 14.47	 15.49	 14.08	 15.49	 15.49	 13.79	 13.79	 13.79	 13.79	 13.79	 19.05	 19.05	 19.05	 19.05	 26.67	 27.33	 29.73	 32.67	 32.67	 66.01	100.00	100.00	 97.45	 62.42	 67.52	 10.53	 12.28	 14.04	 11.90	 11.90	 13.48	 14.58	 14.89	9.59	 12.70	8.43	8.43	 15.24	 10.31	 11.88	9.09	9.09	 12.70	 12.70	 12.70	 10.34	 15.25	 18.64	 18.64	 18.64	 17.19	 17.19	 17.19	 13.43	 11.94	 10.00	 16.36	 11.11	 12.50	 10.77	9.23	 13.46	 16.13	 30.69	 23.16	 21.21	 23.23	 23.76	 23.76	 30.00	 27.54	 27.37	 24.21	 21.05	4.88	4.08	8.82	 17.14	 17.14	 12.50	8.00	8.33	4.35	 12.00	 12.00	 13.24	8.57	 10.29	8.82	8.82	 12.82	9.76	 13.51	 13.51	 15.69	 17.78	 17.78	 14.93	5.56	5.88	5.88	3.45	3.45	4.76	2.08	 11.29	 11.29	 11.29	 14.58	9.30	9.30	9.09	 13.95	8.33	7.02	7.02	7.02	 18.18	 11.11	6.98	 12.24	 12.00	 12.00	9.33	9.62	 26.67	 26.67	8.70	 18.00	 18.60	 18.60	 18.60	 18.60	 15.00	 14.75	 14.75	6.67	0.00	 11.11	 13.89	 15.00	9.09	 12.50	8.33	 12.96	6.78	3.85	8.33	 10.71	 11.86	 17.74	 13.11	 20.00	 12.64	 12.66	9.09	9.64	9.64
gi|225626398|ref|YP_002727893.1|	8.82	8.82	 11.76	 11.76	8.82	 11.76	8.82	 11.76	8.82	8.82	7.94	9.38	9.38	9.38	 19.59	 18.56	 18.56	 18.56	 11.22	 10.89	 12.00	 12.00	9.72	 10.81	 10.81	 10.81	 10.81	 10.81	 14.47	 14.47	 14.47	 14.47	 14.47	 14.47	 15.49	 14.08	 15.49	 15.49	 13.79	 13.79	 13.79	 13.79	 13.79	 19.05	 19.05	 19.05	 19.05	 26.67	 27.33	 29.73	 32.67	 32.67	 66.01	100.00	100.00	 97.45	 62.42	 67.52	 10.53	 12.28	 14.04	 11.90	 11.90	 13.48	 14.58	 14.89	9.59	 12.70	8.43	8.43	 15.24	 10.31	 11.88	9.09	9.09	 12.70	 12.70	 12.70	 10.34	 15.25	 18.64	 18.64	 18.64	 17.19	 17.19	 17.19	 13.43	 11.94	 10.00	 16.36	 11.11	 12.50	 10.77	9.23	 13.46	 16.13	 30.69	 23.16	 21.21	 23.23	 23.76	 23.76	 30.00	 27.54	 27.37	 24.21	 21.05	4.88	4.08	8.82	 17.14	 17.14	 12.50	8.00	8.33	4.35	 12.00	 12.00	 13.24	8.57	 10.29	8.82	8.82	 12.82	9.76	 13.51	 13.51	 15.69	 17.78	 17.78	 14.93	5.56	5.88	5.88	3.45	3.45	4.76	2.08	 11.29	 11.29	 11.29	 14.58	9.30	9.30	9.09	 13.95	8.33	7.02	7.02	7.02	 18.18	 11.11	6.98	 12.24	 12.00	 12.00	9.33	9.62	 26.67	 26.67	8.70	 18.00	 18.60	 18.60	 18.60	 18.60	 15.00	 14.75	 14.75	6.67	0.00	 11.11	 13.89	 15.00	9.09	 12.50	8.33	 12.96	6.78	3.85	8.33	 10.71	 11.86	 17.74	 13.11	 20.00	 12.64	 12.66	9.09	9.64	9.64
gi|589287155|ref|YP_009008899.1|	 11.76	8.82	 14.71	 14.71	 11.76	 14.71	 11.76	 14.71	 11.76	 11.76	7.94	9.38	9.38	9.38	 21.65	 19.59	 19.59	 19.59	 11.22	 10.89	 12.00	 12.00	9.72	9.46	9.46	9.46	9.46	9.46	 13.16	 13.16	 13.16	 13.16	 13.16	 13.16	 15.49	 14.08	 15.49	 15.49	 13.79	 13.79	 13.79	 13.79	 13.79	 21.43	 21.43	 21.43	 21.43	 25.33	 26.00	 29.73	 31.33	 31.33	 66.01	 97.45	 97.45	100.00	 64.33	 68.79	 10.53	 12.28	 14.04	 11.90	 11.90	 13.48	 14.58	 14.89	9.59	 12.70	8.43	8.43	 15.24	 10.31	 11.88	9.09	9.09	 11.11	 11.11	 11.11	 10.34	 15.25	 18.64	 18.64	 18.64	 17.19	 17.19	 17.19	 13.43	 11.94	 10.00	 16.36	 12.50	 13.89	 10.77	 10.77	 13.46	 15.05	 31.68	 22.11	 20.20	 24.24	 24.75	 24.75	 30.00	 28.99	 27.37	 26.32	 21.05	4.88	4.08	8.82	 17.14	 17.14	 12.50	8.00	8.33	4.35	 12.00	 12.00	 13.24	 10.00	 10.29	8.82	8.82	 12.82	 12.20	 16.22	 16.22	 15.69	 17.78	 17.78	 14.93	5.56	 11.76	 11.76	6.90	6.90	4.76	2.08	 11.29	 11.29	 11.29	 12.50	9.30	9.30	9.09	 13.95	8.33	5.26	5.26	5.26	 16.36	9.26	6.98	 10.20	 12.00	 12.00	9.33	9.62	 26.67	 26.67	8.70	 18.00	 18.60	 18.60	 18.60	 18.60	 15.00	 14.75	 14.75	6.67	0.00	 11.11	 13.89	 15.00	9.09	 12.50	0.00	 12.96	6.78	3.85	7.14	 10.71	 11.86	 17.74	 13.11	 20.00	 12.64	 11.39	9.09	9.64	9.64
gi|327198110|ref|YP_004306640.1|	5.88	5.88	8.82	8.82	5.88	8.82	5.88	8.82	5.88	5.88	4.76	6.25	6.25	6.25	 18.56	 18.56	 18.56	 18.56	 10.20	 11.88	 11.00	 11.00	9.72	6.76	8.11	8.11	8.11	8.11	 10.53	 10.53	 10.53	 10.53	 10.53	 10.53	 12.68	 12.68	 12.68	 12.68	 20.69	 20.69	 20.69	 20.69	 20.69	 23.81	 23.81	 23.81	 23.81	 23.33	 23.33	 21.62	 32.67	 32.67	 53.59	 62.42	 62.42	 64.33	100.00	 94.27	 12.28	 10.53	 10.53	7.14	7.14	 13.48	 10.42	 13.83	5.48	9.52	9.64	9.64	 15.24	8.25	 10.89	 10.91	 10.91	 12.70	 12.70	 12.70	 12.07	 18.64	 20.34	 20.34	 20.34	 12.50	 12.50	 12.50	8.96	7.46	 10.00	 14.55	6.94	9.72	 15.38	 10.77	 15.38	 19.35	 30.69	 24.21	 20.20	 27.27	 24.75	 24.75	 32.00	 21.74	 22.11	 23.16	 24.21	4.88	2.04	8.82	 17.14	 17.14	 15.62	4.00	0.00	4.35	4.00	4.00	 10.29	8.57	 13.24	7.35	7.35	 17.95	 14.63	 18.92	 13.51	 15.69	 15.56	 15.56	 13.43	2.78	0.00	0.00	6.90	6.90	7.14	4.17	8.06	8.06	8.06	8.33	9.30	9.30	 11.36	6.98	4.17	5.26	5.26	5.26	 16.36	 11.11	6.98	 10.20	 12.00	 12.00	8.00	 13.46	 28.89	 28.89	 15.22	 14.00	 20.93	 20.93	 20.93	 20.93	 13.33	9.84	9.84	4.44	0.00	 15.56	 11.11	 15.00	 13.64	4.17	0.00	7.41	5.08	7.69	9.52	 12.50	 15.25	 20.97	 11.48	 20.00	6.90	8.86	7.79	6.02	6.02
