qgi	qlen	sgi	sacc	slen	pident	nident	bitscore	evalue	staxids	superkingdom	phylum	class	order	family	genus	species	queryDesc	hostTaxid	hostInfo	condensedHostInfo	hostSpecies	virusTaxid	virusInfo	hitProtDesc	hitOrgDesc	numberOfProteins	numberOfHomologousProteins	fractionOfHomologousProteins
gi|509139332|ref|YP_008058225.1|	216	837940892	WP_047905353	230	32.46	74	78.6	3e-14	656179	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea faecigallinarum	hypothetical protein Abp1_0033	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1235824	Acinetobacter phage Abp1	adenylyl-sulfate kinase	Pandoraea faecigallinarum	54	25	0.462962962962963
gi|311992778|ref|YP_004009645.1|	149	1224196581	WP_092224010	151	46.67	63	113.0	2e-28	91360	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulforhopalus	Desulforhopalus singaporensis	hypothetical protein Acj61p028	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	760732	Acinetobacter phage Acj61	phosphatase	Desulforhopalus singaporensis	241	127	0.5269709543568465
gi|311992830|ref|YP_004009697.1|	237	1062667650	WP_069327515	333	27.27	63	99.8	4.0000000000000004e-21	1886670	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. TI45-13ar	hypothetical protein Acj61p080	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	760732	Acinetobacter phage Acj61	thymidylate synthase	Paenibacillus sp. TI45-13ar	241	127	0.5269709543568465
gi|311992834|ref|YP_004009701.1|	210	1122786744	WP_074146604	211	57.07	117	240.0	2.999999999999999e-76	1496	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	hypothetical protein Acj61p084	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	760732	Acinetobacter phage Acj61	SIS domain-containing protein	Clostridioides difficile	241	127	0.5269709543568465
gi|311992858|ref|YP_004009725.1|	122	506501679	WP_015969224	105	50.0	35	73.9	4e-14	2	Bacteria							hypothetical protein Acj61p108	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	760732	Acinetobacter phage Acj61	MULTISPECIES: DUF2654 domain-containing protein	Bacteria	241	127	0.5269709543568465
gi|311992941|ref|YP_004009808.1|	55	506501803	WP_015969346	55	56.36	31	66.2	1e-12	1396	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	hypothetical protein Acj61p191	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	760732	Acinetobacter phage Acj61	DUF2685 domain-containing protein	Bacillus cereus	241	127	0.5269709543568465
gi|311992959|ref|YP_004009826.1|	116	506501833	WP_015969376	102	44.86	48	87.8	2e-19	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	hypothetical protein Acj61p209	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	760732	Acinetobacter phage Acj61	DUF2693 domain-containing protein	Salmonella enterica	241	127	0.5269709543568465
gi|311992969|ref|YP_004009836.1|	109	1167889612	WP_080181535	108	62.38	63	130.0	2.9999999999999995e-36	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	hypothetical protein Acj61p219	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	760732	Acinetobacter phage Acj61	DUF4326 domain-containing protein	Salmonella enterica	241	127	0.5269709543568465
gi|311993299|ref|YP_004010164.1|	147	1011800055	WP_062621581	151	45.93	62	120.0	3.9999999999999995e-31	1775430	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Flammeovirga	Flammeovirga sp. SJP92	hypothetical protein Acj9p027	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	760939	Acinetobacter phage Acj9	phosphatase	Flammeovirga sp. SJP92	253	128	0.5059288537549407
gi|311993357|ref|YP_004010222.1|	211	1122786744	WP_074146604	211	58.42	118	233.0	1.9999999999999997e-73	1496	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	hypothetical protein Acj9p085	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	760939	Acinetobacter phage Acj9	SIS domain-containing protein	Clostridioides difficile	253	128	0.5059288537549407
gi|311993387|ref|YP_004010252.1|	122	506501679	WP_015969224	105	44.44	40	77.8	9.999999999999999e-16	2	Bacteria							hypothetical protein Acj9p115	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	760939	Acinetobacter phage Acj9	MULTISPECIES: DUF2654 domain-containing protein	Bacteria	253	128	0.5059288537549407
gi|311993467|ref|YP_004010332.1|	55	506501803	WP_015969346	55	61.82	34	75.1	5e-16	1396	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	hypothetical protein Acj9p195	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	760939	Acinetobacter phage Acj9	DUF2685 domain-containing protein	Bacillus cereus	253	128	0.5059288537549407
gi|311993471|ref|YP_004010336.1|	528	1296597510	WP_100771473	391	54.96	216	464.0	2.9999999999999987e-156	1396	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	hypothetical protein Acj9p199	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	760939	Acinetobacter phage Acj9	baseplate hub subunit	Bacillus cereus	253	128	0.5059288537549407
gi|311993485|ref|YP_004010350.1|	114	1122786792	WP_074146630	98	40.2	41	79.3	2e-16	1496	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	hypothetical protein Acj9p213	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	760939	Acinetobacter phage Acj9	DUF2693 domain-containing protein	Clostridioides difficile	253	128	0.5059288537549407
gi|311993501|ref|YP_004010366.1|	106	1167889612	WP_080181535	108	63.37	64	132.0	6.9999999999999994e-37	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	hypothetical protein Acj9p229	40214	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter johnsonii	760939	Acinetobacter phage Acj9	DUF4326 domain-containing protein	Salmonella enterica	253	128	0.5059288537549407
gi|423261993|ref|YP_007010594.1|	101	489346177	WP_003253311	101	100.0	101	206.0	1.9999999999999997e-66	470	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	hypothetical protein BPABA456_00130	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1221835	Acinetobacter phage Bphi-B1251	DUF559 domain-containing protein	Acinetobacter baumannii	62	61	0.9838709677419356
gi|423262001|ref|YP_007010602.1|	483	447209099	WP_001286355	483	100.0	483	1006.0	0.0	470	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	hypothetical protein BPABA456_00210	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1221835	Acinetobacter phage Bphi-B1251	DUF4055 domain-containing protein	Acinetobacter baumannii	62	61	0.9838709677419356
gi|423262020|ref|YP_007010621.1|	181	446024640	WP_000102495	181	100.0	181	370.0	1.9999999999999993e-128	469	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		hypothetical protein BPABA456_00400	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1221835	Acinetobacter phage Bphi-B1251	MULTISPECIES: N-acetyltransferase	Acinetobacter	62	61	0.9838709677419356
gi|712915502|ref|YP_009103241.1|	311	506600375	WP_016064814	264	54.0	135	272.0	1.9999999999999995e-86	80865	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia		hypothetical protein vB_AbaP_Acibel007_30	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1481187	Acinetobacter phage vB_AbaP_Acibel007	MULTISPECIES: constituent protein	Delftia	53	21	0.3962264150943397
gi|682123123|ref|YP_009055444.1|	288	1252970619	WP_096877516	297	51.8	115	215.0	3.999999999999999e-64	470	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	hypothetical protein BPABA14_00230	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1505225	Acinetobacter phage YMC-13-01-C62	DNA replication protein DnaD	Acinetobacter baumannii	84	46	0.5476190476190477
gi|682123124|ref|YP_009055445.1|	159	1152409690	WP_078273438	150	45.77	65	142.0	2e-39	476	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella bovis	hypothetical protein BPABA14_00240	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1505225	Acinetobacter phage YMC-13-01-C62	HNH endonuclease	Moraxella bovis	84	46	0.5476190476190477
gi|682123134|ref|YP_009055455.1|	299	490655693	WP_004520683	290	48.66	145	287.0	3.999999999999999e-92	28449	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria subflava	hypothetical protein BPABA14_00340	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1505225	Acinetobacter phage YMC-13-01-C62	recombinase	Neisseria subflava	84	46	0.5476190476190477
gi|682123147|ref|YP_009055468.1|	208	1181279324	WP_084585042	210	50.24	105	207.0	1.9999999999999996e-63	1196083	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Snodgrassella	Snodgrassella alvi	hypothetical protein BPABA14_00470	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1505225	Acinetobacter phage YMC-13-01-C62	DUF2612 domain-containing protein	Snodgrassella alvi	84	46	0.5476190476190477
gi|682123158|ref|YP_009055479.1|	487	1279574597	WP_100152575	488	46.41	226	436.0	9.999999999999997e-145	1196083	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Snodgrassella	Snodgrassella alvi	hypothetical protein BPABA14_00580	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1505225	Acinetobacter phage YMC-13-01-C62	DUF3383 domain-containing protein	Snodgrassella alvi	84	46	0.5476190476190477
gi|682123166|ref|YP_009055487.1|	150	1279558080	WP_100138870	135	46.76	65	115.0	1.0000000000000001e-29	1196083	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Snodgrassella	Snodgrassella alvi	hypothetical protein BPABA14_00660	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1505225	Acinetobacter phage YMC-13-01-C62	DUF4054 domain-containing protein	Snodgrassella alvi	84	46	0.5476190476190477
gi|682123168|ref|YP_009055489.1|	339	1056026271	WP_067554531	333	50.33	153	331.0	5.999999999999998e-108	1789224	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter larvae	hypothetical protein BPABA14_00680	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1505225	Acinetobacter phage YMC-13-01-C62	DUF2184 domain-containing protein	Acinetobacter larvae	84	46	0.5476190476190477
gi|682123170|ref|YP_009055491.1|	444	1279559908	WP_100140664	379	45.88	178	293.0	3.9999999999999995e-91	1196083	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Snodgrassella	Snodgrassella alvi	hypothetical protein BPABA14_00700	470	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter calcoaceticus/baumannii complex Acinetobacter baumannii	Proteobacteria Gammaproteobacteria Pseudomonadales	Acinetobacter baumannii	1505225	Acinetobacter phage YMC-13-01-C62	DUF2213 domain-containing protein	Snodgrassella alvi	84	46	0.5476190476190477
gi|109290052|ref|YP_656301.1|	493	493575906	WP_006529042	461	44.72	195	358.0	9.999999999999999e-115	102232	Bacteria	Cyanobacteria		Chroococcales	Chroococcaceae	Gloeocapsa	Gloeocapsa sp. PCC 73106	hypothetical protein PHG25ORF066c	645	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Aeromonadales Aeromonadaceae Aeromonas Aeromonas salmonicida	Proteobacteria Gammaproteobacteria Aeromonadales	Aeromonas salmonicida	233894	Aeromonas phage 25	nicotinate phosphoribosyltransferase	Gloeocapsa sp. PCC 73106	242	114	0.4710743801652893
gi|109290062|ref|YP_656311.1|	352	1244525571	WP_096065998	353	36.93	130	189.0	1e-52	1975705	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp. FDAARGOS_221	hypothetical protein PHG25ORF076c	645	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Aeromonadales Aeromonadaceae Aeromonas Aeromonas salmonicida	Proteobacteria Gammaproteobacteria Aeromonadales	Aeromonas salmonicida	233894	Aeromonas phage 25	NUDIX domain-containing protein	Psychrobacter sp. FDAARGOS_221	242	114	0.4710743801652893
gi|109290063|ref|YP_656312.1|	77	1223083745	WP_091124826	92	49.41	42	86.7	8.000000000000001e-20	1798183	Bacteria	Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella	Gilliamella intestini	hypothetical protein PHG25ORF077c	645	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Aeromonadales Aeromonadaceae Aeromonas Aeromonas salmonicida	Proteobacteria Gammaproteobacteria Aeromonadales	Aeromonas salmonicida	233894	Aeromonas phage 25	NINE protein	Gilliamella intestini	242	114	0.4710743801652893
gi|109290070|ref|YP_656319.1|	408	497730824	WP_010045008	379	41.0	164	291.0	9.000000000000001e-91	114	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Gemmataceae	Gemmata	Gemmata obscuriglobus	hypothetical protein PHG25ORF084c	645	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Aeromonadales Aeromonadaceae Aeromonas Aeromonas salmonicida	Proteobacteria Gammaproteobacteria Aeromonadales	Aeromonas salmonicida	233894	Aeromonas phage 25	glutathionylspermidine synthase family protein	Gemmata obscuriglobus	242	114	0.4710743801652893
gi|109290071|ref|YP_656320.1|	202	1189829032	WP_085847602	193	34.6	73	82.0	9.999999999999999e-16	658057	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pacificibacter	Pacificibacter marinus	hypothetical protein PHG25ORF085c	645	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Aeromonadales Aeromonadaceae Aeromonas Aeromonas salmonicida	Proteobacteria Gammaproteobacteria Aeromonadales	Aeromonas salmonicida	233894	Aeromonas phage 25	DUF1190 domain-containing protein	Pacificibacter marinus	242	114	0.4710743801652893
gi|109290076|ref|YP_656325.1|	155	504237342	WP_014424444	160	37.97	60	73.2	4e-13	971	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas ruminantium	hypothetical protein PHG25ORF090c	645	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Aeromonadales Aeromonadaceae Aeromonas Aeromonas salmonicida	Proteobacteria Gammaproteobacteria Aeromonadales	Aeromonas salmonicida	233894	Aeromonas phage 25	adenylate cyclase	Selenomonas ruminantium	242	114	0.4710743801652893
gi|109290145|ref|YP_656394.1|	180	950266044	WP_057302233	139	39.16	56	96.3	1.0000000000000001e-21	1736538	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. Root444D2	hypothetical protein PHG25ORF159c	645	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Aeromonadales Aeromonadaceae Aeromonas Aeromonas salmonicida	Proteobacteria Gammaproteobacteria Aeromonadales	Aeromonas salmonicida	233894	Aeromonas phage 25	GTP pyrophosphokinase	Paenibacillus sp. Root444D2	242	114	0.4710743801652893
gi|109290182|ref|YP_656431.1|	100	506573435	WP_016039635	108	50.52	49	98.2	1e-23	1239	Bacteria	Firmicutes						hypothetical protein PHG25p197nc	645	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Aeromonadales Aeromonadaceae Aeromonas Aeromonas salmonicida	Proteobacteria Gammaproteobacteria Aeromonadales	Aeromonas salmonicida	233894	Aeromonas phage 25	MULTISPECIES: DUF4326 domain-containing protein	Firmicutes	242	114	0.4710743801652893
gi|109290186|ref|YP_656435.1|	361	1188441929	WP_085561588	355	39.61	141	236.0	1.9999999999999997e-70	28450	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei	hypothetical protein PHG25ORF200c	645	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Aeromonadales Aeromonadaceae Aeromonas Aeromonas salmonicida	Proteobacteria Gammaproteobacteria Aeromonadales	Aeromonas salmonicida	233894	Aeromonas phage 25	RNA ligase (ATP)	Burkholderia pseudomallei	242	114	0.4710743801652893
