## Complete genomes: Viruses (taxid 10239) filtered by host 'bacteria'
"Genome"	"Accession"	"Source information"	"Number of segments"	"Genome length"	"Number of proteins"	"Genome Neighbors"	"Host"	"Date completed"	"Date updated"
Acinetobacter phage YMC-13-01-C62	NC_024785	-	-	44844 nt	84	-	bacteria	09/09/2014	09/09/2014	
Acinetobacter phage YMC11/12/R2315	NC_028855	-	-	44846 nt	85	-	bacteria	01/05/2016	01/05/2016	
Acinetobacter phage YMC13/03/R2096	NC_027332	-	-	98170 nt	162	-	bacteria	06/24/2015	06/24/2015	
Acinetobacter phage ZZ1	NC_018087	-	-	166687 nt	256	-	bacteria	06/27/2012	10/04/2017	
Acinetobacter phage phiAB1	NC_028675	-	-	41526 nt	46	-	bacteria	12/17/2015	12/17/2015	
Acinetobacter phage phiAB6	NC_031086	-	-	40570 nt	45	-	bacteria	09/23/2016	09/23/2016	
Acinetobacter phage phiAC-1	NC_028995	-	-	43216 nt	82	-	bacteria	01/05/2016	01/05/2016	
Acinetobacter phage vB_AbaM_Acibel004	NC_025462	-	-	99730 nt	156	-	bacteria	11/10/2014	11/10/2014	
Acinetobacter phage vB_AbaM_IME200	NC_028987	-	-	41243 nt	52	-	bacteria	01/05/2016	07/24/2016	
Acinetobacter phage vB_AbaM_phiAbaA1	NC_031280	-	-	104906 nt	165	-	bacteria	09/27/2016	09/27/2016	
Acinetobacter phage vB_AbaP_Acibel007	NC_025457	-	-	42654 nt	53	-	bacteria	11/10/2014	11/10/2014	
Acinetobacter phage vB_AbaP_PD-6A3	NC_028684	-	-	41563 nt	48	-	bacteria	12/17/2015	12/17/2015	
Acinetobacter phage vB_AbaP_PD-AB9	NC_028679	-	-	40938 nt	48	-	bacteria	12/17/2015	12/17/2015	
Acinetobacter phage vB_AbaS_TRS1	NC_031098	-	-	40749 nt	70	-	bacteria	09/23/2016	11/29/2016	
Acinetobacter virus 133	NC_015250	strain:Acj133	-	159801 nt	257	-	bacteria	03/21/2011	04/29/2011	
Actinomyces virus Av1	NC_009643	-	-	17171 nt	22	-	bacteria	07/06/2007	04/17/2009	
Actinoplanes phage phiAsp2	NC_005885	-	-	58638 nt	76	-	bacteria	06/14/2004	11/24/2012	
Aeromonas phage Aes012	NC_020879	-	-	161978 nt	243	-	bacteria	04/01/2013	04/14/2013	
Aeromonas phage Aes508	NC_019543	-	-	160646 nt	230	-	bacteria	11/21/2012	11/21/2012	
Aeromonas phage CC2	NC_019538	-	-	231743 nt	427	-	bacteria	11/21/2012	11/21/2012	
Aeromonas phage PX29	NC_023688	-	-	222006 nt	330	-	bacteria	03/11/2014	03/11/2014	
Aeromonas phage pAh6-C	NC_025459	-	-	53744 nt	86	-	bacteria	11/10/2014	11/10/2014	
Aeromonas phage phiAS4	NC_014635	-	-	163875 nt	271	-	bacteria	10/28/2010	02/23/2012	
Aeromonas phage phiAS5	NC_014636	-	-	225268 nt	343	-	bacteria	10/28/2010	04/25/2012	
Aeromonas phage phiAS7	NC_019528	-	-	41572 nt	51	-	bacteria	11/21/2012	11/21/2012	
Aeromonas phage vB_AsaM-56	NC_019527	isolate:HER109	-	43551 nt	83	-	bacteria	11/21/2012	11/21/2012	
Aeromonas virus 25	NC_008208	-	-	161475 nt	242	-	bacteria	06/20/2006	03/26/2010	
Aeromonas virus 31	NC_007022	-	-	172963 nt	247	-	bacteria	05/21/2005	09/03/2013	
Aeromonas virus 44RR2	NC_005135	-	-	173591 nt	252	-	bacteria	10/11/2003	09/11/2013	
Aeromonas virus 65	NC_015251	-	-	235229 nt	437	-	bacteria	03/21/2011	04/03/2013	
Aeromonas virus Aeh1	NC_005260	-	-	233234 nt	352	-	bacteria	12/03/2003	03/26/2010	
Aeromonas virus phiO18P	NC_009542	-	-	33985 nt	45	-	bacteria	06/08/2007	03/26/2010	
Aggregatibacter phage S1249	-	-	2	87940 nt	132	-	bacteria	12/11/2009	02/04/2014	
          Aggregatibacter phage S1249     (43970 nt)     NC_013597     proteins: 66
          Aggregatibacter phage S1249     (43970 nt)     NC_013597     proteins: 66
Agrobacterium phage 7-7-1	NC_019519	-	-	69391 nt	127	-	bacteria	12/31/2012	12/31/2012	
Alphaproteobacteria virus phiJl001	NC_006938	-	-	63649 nt	90	-	bacteria	04/07/2005	05/14/2007	
Alteromonas phage vB_AmaP_AD45-P1	NC_021532	-	-	103910 nt	120	3	bacteria	06/20/2013	07/15/2013	
Anabaena phage A-4L	NC_024358	-	-	41750 nt	38	-	bacteria	06/24/2014	06/17/2015	
Arthrobacter phage BarretLemon	NC_031252	-	-	51290 nt	79	-	bacteria	09/27/2016	09/27/2016	
Arthrobacter phage Decurro	NC_028692	-	-	15524 nt	26	-	bacteria	12/17/2015	04/10/2017	
Arthrobacter phage KellEzio	NC_031231	-	-	58871 nt	98	-	bacteria	09/27/2016	09/27/2016	
Arthrobacter phage Kitkat	NC_031254	-	-	58560 nt	100	-	bacteria	09/27/2016	09/27/2016	
Arthrobacter phage Mudcat	NC_031224	-	-	59443 nt	95	-	bacteria	09/27/2016	06/27/2017	
Arthrobacter phage vB_ArS-ArV2	NC_022972	-	-	37372 nt	68	-	bacteria	12/04/2013	10/31/2014	
Arthrobacter phage vB_ArtM-ArV1	NC_026606	-	-	71200 nt	101	-	bacteria	03/04/2015	07/12/2016	
Aurantimonas phage AmM-1	NC_027334	strain:AmM-1	-	47800 nt	67	-	bacteria	06/24/2015	06/24/2015	
Azospirillum phage Cd	NC_010355	-	-	62337 nt	95	-	bacteria	02/19/2008	01/09/2009	
Bacillus phage 0305phi8-36	NC_009760	-	-	218948 nt	246	-	bacteria	08/29/2007	12/20/2007	
Bacillus phage AR9	NC_031039	-	-	251042 nt	291	-	bacteria	09/23/2016	09/23/2016	
Bacillus phage Aurora	NC_031121	-	-	25908 nt	40	-	bacteria	09/23/2016	09/23/2016	
Bacillus phage AvesoBmore	NC_028887	-	-	167431 nt	301	-	bacteria	01/05/2016	01/05/2016	
Bacillus phage B4	NC_018863	-	-	162596 nt	277	1	bacteria	10/15/2012	10/21/2013	
Bacillus phage BCD7	NC_019515	-	-	93839 nt	140	-	bacteria	11/21/2012	11/21/2012	
Bacillus phage BCJA1c	NC_006557	-	-	41092 nt	58	-	bacteria	12/17/2004	12/19/2007	
Bacillus phage BCP78	NC_018860	-	-	156176 nt	227	1	bacteria	10/15/2012	11/01/2012	
Bacillus phage BCP8-2	NC_027355	isolate:BCP8-2	-	159071 nt	220	-	bacteria	06/24/2015	11/01/2015	
Bacillus phage BM5	NC_029069	-	-	165031 nt	224	-	bacteria	02/05/2016	02/16/2017	
Bacillus phage BPS10C	NC_023501	-	-	159590 nt	271	-	bacteria	02/27/2014	09/23/2014	
Bacillus phage BPS13	NC_018857	-	-	158305 nt	268	-	bacteria	10/15/2012	11/01/2012	
Bacillus phage BalMu-1	NC_030945	-	-	39873 nt	56	1	bacteria	09/19/2016	09/19/2016	
Bacillus phage Bam35c	NC_005258	-	-	14935 nt	32	2	bacteria	12/03/2003	04/17/2009	
Bacillus phage Bastille	NC_018856	-	-	153962 nt	273	-	bacteria	10/15/2012	02/15/2013	
Bacillus phage Bcp1	NC_024137	-	-	152778 nt	229	-	bacteria	05/27/2014	06/18/2014	
Bacillus phage Belinda	NC_031024	-	-	162308 nt	295	-	bacteria	09/23/2016	09/23/2016	
Bacillus phage BigBertha	NC_022769	-	-	165238 nt	291	-	bacteria	12/19/2013	07/08/2014	
Bacillus phage Bobb	NC_024792	-	-	160281 nt	247	-	bacteria	09/09/2014	09/09/2014	
Bacillus phage Bp8p-C	NC_029121	-	-	151417 nt	211	-	bacteria	02/05/2016	02/05/2016	
Bacillus phage BtCS33	NC_018085	-	-	41992 nt	57	1	bacteria	06/27/2012	06/27/2012	
Bacillus phage CAM003	NC_024216	-	-	160541 nt	287	-	bacteria	06/02/2014	11/06/2014	
Bacillus phage CP-51	NC_025423	-	-	138658 nt	221	-	bacteria	11/25/2014	11/25/2014	
Bacillus phage CampHawk	NC_022761	-	-	146193 nt	231	-	bacteria	11/08/2013	07/08/2014	
Bacillus phage Claudi	NC_031015	-	-	26504 nt	46	-	bacteria	09/23/2016	09/23/2016	
Bacillus phage DIGNKC	NC_031006	-	-	161552 nt	291	-	bacteria	09/23/2016	09/23/2016	
Bacillus phage Deep Blue	NC_031056	-	-	157501 nt	226	-	bacteria	09/23/2016	09/23/2016	
Bacillus phage DirtyBetty	NC_031054	-	-	162415 nt	302	1	bacteria	09/23/2016	09/23/2016	
Bacillus phage Eldridge	NC_030920	-	-	165868 nt	238	-	bacteria	09/19/2016	09/19/2016	
Bacillus phage Evoli	NC_024207	-	-	159656 nt	294	1	bacteria	06/02/2014	11/06/2014	
Bacillus phage Eyuki	NC_028944	-	-	162252 nt	300	1	bacteria	01/05/2016	01/05/2016	
Bacillus phage Fah	NC_007814	-	-	37974 nt	50	-	bacteria	03/03/2006	12/19/2007	
Bacillus phage GIL16c	NC_006945	-	-	14844 nt	31	-	bacteria	04/07/2005	04/17/2009	
Bacillus phage Gamma	NC_007458	isolate:51	-	37253 nt	53	4	bacteria	10/05/2005	12/08/2008	
Bacillus phage Grass	NC_022771	-	-	156648 nt	252	-	bacteria	12/19/2013	07/08/2014	
Bacillus phage Hakuna	NC_024213	-	-	158100 nt	294	-	bacteria	06/02/2014	11/06/2014	
Bacillus phage Hoody T	NC_024205	-	-	159837 nt	270	-	bacteria	06/02/2014	11/06/2014	
Bacillus phage JBP901	NC_027352	-	-	159492 nt	201	-	bacteria	06/24/2015	11/03/2015	
Bacillus phage JL	NC_028982	-	-	137918 nt	218	-	bacteria	01/05/2016	01/05/2016	
Bacillus phage Kida	NC_031012	-	-	162151 nt	304	-	bacteria	09/23/2016	09/23/2016	
Bacillus phage MG-B1	NC_021336	-	-	27190 nt	42	-	bacteria	06/03/2013	07/27/2013	
Bacillus phage Mater	NC_027366	-	-	164302 nt	241	-	bacteria	06/24/2015	06/24/2015	
Bacillus phage Megatron	NC_024211	-	-	158750 nt	290	-	bacteria	06/02/2014	11/06/2014	
Bacillus phage Moonbeam	NC_027374	-	-	161239 nt	237	-	bacteria	06/24/2015	06/24/2015	
Bacillus phage Nemo	NC_031070	-	-	162375 nt	301	-	bacteria	09/23/2016	09/23/2016	
Bacillus phage Nigalana	NC_031037	-	-	163041 nt	302	-	bacteria	09/23/2016	09/23/2016	
Bacillus phage NotTheCreek	NC_031049	-	-	161929 nt	296	-	bacteria	09/23/2016	09/23/2016	
Bacillus phage PBC1	NC_017976	-	-	41164 nt	50	-	bacteria	05/31/2012	05/31/2012	
Bacillus phage PM1	NC_020883	strain:PM1	-	50861 nt	86	-	bacteria	04/01/2013	06/01/2013	
Bacillus phage Page	NC_022764	-	-	39874 nt	50	1	bacteria	01/07/2014	07/08/2014	
Bacillus phage Palmer	NC_028926	-	-	40000 nt	50	-	bacteria	01/05/2016	01/05/2016	
Bacillus phage Pascal	NC_027372	-	-	39639 nt	50	-	bacteria	06/24/2015	06/24/2015	
Bacillus phage Pavlov	NC_028782	-	-	40024 nt	50	-	bacteria	01/05/2016	01/05/2016	
Bacillus phage PfEFR-5	NC_031055	-	-	43773 nt	68	1	bacteria	09/23/2016	09/23/2016	
Bacillus phage Phrodo	NC_031100	-	-	164443 nt	288	-	bacteria	09/23/2016	09/23/2016	
Bacillus phage Pony	NC_022770	-	-	39844 nt	48	-	bacteria	12/19/2013	07/08/2014	
Bacillus phage Pookie	NC_027394	-	-	40214 nt	52	-	bacteria	06/24/2015	06/24/2015	
Bacillus phage Riley	NC_024788	-	-	162816 nt	290	-	bacteria	09/09/2014	11/06/2014	
Bacillus phage SP-10	NC_019487	-	-	143986 nt	236	-	bacteria	11/16/2012	11/16/2012	
Bacillus phage SP-15	NC_031245	-	-	221908 nt	317	-	bacteria	09/27/2016	09/27/2016	
Bacillus phage SPG24	NC_030903	strain:SPG24	-	152069 nt	34	-	bacteria	09/19/2016	09/19/2016	
Bacillus phage SPP1	NC_004166	-	-	44010 nt	97	-	bacteria	01/08/1998	07/19/2016	
Bacillus phage SageFayge	NC_031027	-	-	162359 nt	300	-	bacteria	09/23/2016	09/23/2016	
Bacillus phage SalinJah	NC_031034	-	-	161140 nt	292	-	bacteria	09/23/2016	01/12/2018	
Bacillus phage Shanette	NC_028983	-	-	138877 nt	220	-	bacteria	01/05/2016	01/05/2016	
Bacillus phage Shbh1	NC_030925	-	-	138081 nt	177	-	bacteria	09/19/2016	09/19/2016	
Bacillus phage Slash	NC_022774	-	-	80382 nt	111	-	bacteria	04/10/2014	07/08/2014	
Bacillus phage Spock	NC_022763	-	-	164297 nt	283	-	bacteria	12/19/2013	07/08/2014	
Bacillus phage Stahl	NC_028856	-	-	80148 nt	110	-	bacteria	01/05/2016	01/05/2016	
Bacillus phage Staley	NC_022767	-	-	81656 nt	113	-	bacteria	12/19/2013	07/08/2014	
Bacillus phage Stills	NC_028777	-	-	80798 nt	110	-	bacteria	01/05/2016	01/07/2016	
Bacillus phage Stitch	NC_031032	-	-	24320 nt	36	-	bacteria	09/23/2016	09/23/2016	
Bacillus phage TP21-L	NC_011645	-	-	37456 nt	56	-	bacteria	12/09/2008	03/18/2011	
Bacillus phage Troll	NC_022088	-	-	163019 nt	289	1	bacteria	08/17/2013	05/21/2014	
Bacillus phage TsarBomba	NC_028890	-	-	162486 nt	247	-	bacteria	01/05/2016	08/24/2017	
Bacillus phage VMY22	NC_028789	-	-	18609 nt	25	-	bacteria	01/05/2016	01/05/2016	
Bacillus phage W.Ph.	NC_016563	-	-	156897 nt	274	-	bacteria	01/10/2012	02/11/2013	
Bacillus phage Waukesha92	NC_025424	-	-	45648 nt	72	-	bacteria	11/10/2014	11/10/2014	
Bacillus phage Wip1	NC_022094	-	-	14319 nt	27	-	bacteria	08/17/2013	09/16/2013	
Bacillus phage Zuko	NC_031116	-	-	163345 nt	294	-	bacteria	09/23/2016	09/23/2016	
Bacillus phage phIS3501	NC_019502	-	-	44401 nt	51	-	bacteria	11/21/2012	11/21/2012	
Bacillus phage phi105	NC_004167	-	-	39325 nt	51	1	bacteria	01/08/1999	03/30/2016	
Bacillus phage phi4B1	NC_028886	-	-	38663 nt	56	-	bacteria	01/05/2016	01/05/2016	
Bacillus phage phi4J1	NC_029008	-	-	41486 nt	67	-	bacteria	01/05/2016	01/05/2016	
Bacillus phage phiAGATE	NC_020081	-	-	149844 nt	210	-	bacteria	02/05/2013	12/11/2013	
Bacillus phage phiCM3	NC_023599	-	-	38772 nt	56	-	bacteria	03/04/2014	03/04/2014	
Bacillus phage phiNIT1	NC_021856	strain:phiNIT1	-	155631 nt	219	-	bacteria	07/23/2013	08/17/2013	
Bacillus phage vB_BanS-Tsamsa	NC_023007	-	-	168876 nt	272	-	bacteria	12/09/2013	04/09/2014	
Bacillus phage vB_BceM_Bc431v3	NC_020873	-	-	158621 nt	238	-	bacteria	04/01/2013	04/14/2013	
Bacillus phage vB_BhaS-171	NC_030904	-	-	38975 nt	67	-	bacteria	09/19/2016	09/19/2016	
Bacillus phage vB_BtS_BMBtp3	NC_028748	-	-	51366 nt	76	-	bacteria	01/05/2016	10/18/2016	
Bacillus virus 1	NC_009737	-	-	35055 nt	54	-	bacteria	08/10/2007	07/02/2008	
Bacillus virus 250	NC_029024	-	-	56505 nt	54	-	bacteria	01/05/2016	01/06/2016	
Bacillus virus AP50	NC_011523	-	-	14398 nt	31	-	bacteria	11/05/2008	03/26/2010	
Bacillus virus Andromeda	NC_020478	-	-	49259 nt	79	1	bacteria	03/12/2013	09/11/2013	
Bacillus virus B103	NC_004165	-	-	18630 nt	17	2	bacteria	07/13/1996	02/10/2015	
Bacillus virus BMBtp2	NC_019912	-	-	36932 nt	53	-	bacteria	12/19/2012	10/07/2016	
Bacillus virus Blastoid	NC_022773	-	-	50354 nt	79	-	bacteria	12/19/2013	07/08/2014	
Bacillus virus Curly	NC_020479	-	-	49425 nt	77	-	bacteria	03/12/2013	09/24/2013	
Bacillus virus Eoghan	NC_020477	-	-	49458 nt	75	-	bacteria	03/12/2013	09/11/2013	
Bacillus virus Finn	NC_020480	-	-	50161 nt	77	-	bacteria	03/12/2013	09/11/2013	
Bacillus virus G	NC_023719	strain:G	-	497513 nt	675	-	bacteria	03/11/2014	03/11/2014	
Bacillus virus GA1	NC_002649	-	-	21129 nt	35	-	bacteria	09/28/1996	04/17/2009	
Bacillus virus Glittering	NC_022766	-	-	49246 nt	78	-	bacteria	12/19/2013	07/08/2014	
Bacillus virus IEBH	NC_011167	-	-	53104 nt	86	-	bacteria	08/25/2008	08/28/2008	
Bacillus virus Riggi	NC_022765	-	-	49836 nt	79	-	bacteria	12/19/2013	07/08/2014	
Bacillus virus SPO1	NC_011421	-	-	132562 nt	204	-	bacteria	10/27/2008	05/28/2009	
Bacillus virus SPbeta	NC_001884	-	-	134416 nt	185	-	bacteria	04/06/1998	02/10/2015	
Bacillus virus Wbeta	NC_007734	-	-	40867 nt	53	-	bacteria	01/25/2006	04/17/2009	
Bacillus virus phi29	NC_011048	-	-	19282 nt	27	1	bacteria	07/11/2008	03/26/2010	
Bacteriophage APSE-2	NC_011551	isolate:T5A	-	39867 nt	41	-	bacteria	11/12/2008	03/26/2010	
Bacteriophage Lily	NC_028841	-	-	44952 nt	74	-	bacteria	01/05/2016	01/05/2016	
Bacteroides phage B124-14	NC_016770	-	-	47159 nt	68	-	bacteria	01/10/2012	05/11/2012	
Bacteroides phage B40-8	NC_011222	culture-collection:ATCC:51477-B1	-	44929 nt	46	-	bacteria	09/12/2008	09/12/2008	
Bdellovibrio phage phi1402	NC_015721	-	-	23931 nt	42	-	bacteria	06/29/2011	06/29/2011	
Bdellovibrio phage phi1422	NC_019525	-	-	45354 nt	76	-	bacteria	11/21/2012	11/21/2012	
Bdellovibrio phage phiMH2K	NC_002643	-	-	4594 nt	11	-	bacteria	01/03/2001	05/06/2009	
Bordetella virus BPP1	NC_005357	-	-	42493 nt	49	2	bacteria	01/23/2004	04/17/2009	
Brevibacillus phage Abouo	NC_029029	-	-	45552 nt	94	-	bacteria	01/05/2016	01/06/2016	
Brevibacillus phage Davies	NC_022980	-	-	45798 nt	94	-	bacteria	04/10/2014	07/01/2015	
Brevibacillus phage Jenst	NC_028805	-	-	126341 nt	178	1	bacteria	01/05/2016	01/06/2016	
Brevibacillus phage Jimmer1	NC_029104	-	-	54312 nt	103	-	bacteria	02/05/2016	02/05/2016	
Brevibacillus phage Osiris	NC_028969	-	-	52955 nt	103	1	bacteria	01/05/2016	01/05/2016	
Brevibacillus phage Sundance	NC_028749	-	-	134270 nt	194	-	bacteria	01/05/2016	01/05/2016	
Brochothrix phage A9	NC_015253	-	-	127065 nt	199	-	bacteria	03/29/2011	03/29/2011	
Brochothrix phage BL3	NC_015254	-	-	41518 nt	67	-	bacteria	04/01/2011	04/01/2011	
Brochothrix phage NF5	NC_015252	-	-	36953 nt	58	-	bacteria	03/29/2011	03/29/2011	
Brucella phage BiPBO1	NC_031264	isolate:BiPBO1	-	46877 nt	86	-	bacteria	09/27/2016	09/27/2016	
Brucella phage Pr	NC_019447	-	-	38253 nt	57	4	bacteria	11/16/2012	11/16/2012	
Brucella phage Tb	NC_019446	-	-	41148 nt	58	26	bacteria	11/16/2012	11/16/2012	
Burkholderia phage AH2	NC_018283	-	-	58065 nt	78	-	bacteria	08/06/2012	08/06/2012	
Burkholderia phage Bcep176	NC_007497	-	-	44856 nt	81	-	bacteria	10/19/2005	11/25/2012	
Burkholderia phage BcepB1A	NC_005886	-	-	47399 nt	73	-	bacteria	06/14/2004	07/26/2016	
Burkholderia phage BcepGomr	NC_009447	-	-	52414 nt	75	-	bacteria	05/09/2007	03/26/2010	
Burkholderia phage BcepNazgul	NC_005091	-	-	57455 nt	73	-	bacteria	09/13/2003	12/20/2007	
Burkholderia phage JG068	NC_022916	-	-	41604 nt	49	-	bacteria	11/26/2013	11/29/2013	
Burkholderia phage KL1	NC_018278	-	-	42832 nt	55	-	bacteria	08/06/2012	08/06/2012	
Burkholderia phage KL3	NC_015266	-	-	40555 nt	52	-	bacteria	03/29/2011	03/29/2011	
Burkholderia phage KS10	NC_011216	-	-	37635 nt	49	-	bacteria	09/10/2008	11/27/2012	
Burkholderia phage KS14	NC_015273	-	-	32317 nt	44	-	bacteria	03/29/2011	03/29/2011	
Burkholderia phage KS5	NC_015265	-	-	37236 nt	46	-	bacteria	03/29/2011	03/29/2011	
Burkholderia phage KS9	NC_013055	strain:KS9	-	39896 nt	50	-	bacteria	08/03/2009	04/30/2012	
Burkholderia phage ST79	NC_021343	-	-	35430 nt	49	-	bacteria	06/03/2013	07/15/2013	
Burkholderia virus Bcep1	NC_005263	-	-	48177 nt	71	-	bacteria	12/03/2003	11/24/2012	
Burkholderia virus Bcep22	NC_005262	-	-	63882 nt	77	-	bacteria	12/03/2003	10/05/2017	
Burkholderia virus Bcep43	NC_005342	-	-	48024 nt	65	-	bacteria	01/21/2004	04/17/2009	
Burkholderia virus Bcep781	NC_004333	-	-	48247 nt	66	-	bacteria	10/07/2002	11/23/2012	
Burkholderia virus BcepC6B	NC_005887	-	-	42415 nt	46	-	bacteria	06/14/2004	04/17/2009	
Burkholderia virus BcepF1	NC_009015	-	-	72415 nt	127	-	bacteria	02/20/2007	02/22/2007	
Burkholderia virus BcepMu	NC_005882	-	-	36748 nt	53	-	bacteria	06/14/2004	07/26/2016	
Burkholderia virus BcepNY3	NC_009604	-	-	47382 nt	70	-	bacteria	06/27/2007	04/17/2009	
Burkholderia virus Bcepil02	NC_012743	-	-	62715 nt	76	-	bacteria	06/02/2009	09/26/2011	
Burkholderia virus Bcepmigl	NC_019917	-	-	62952 nt	75	-	bacteria	12/19/2012	12/19/2012	
Burkholderia virus DC1	NC_018452	-	-	61847 nt	73	-	bacteria	08/20/2012	08/20/2012	
Burkholderia virus phi1026b	NC_005284	-	-	54865 nt	83	-	bacteria	12/05/2003	07/23/2008	
Burkholderia virus phi52237	NC_007145	-	-	37639 nt	47	2	bacteria	06/24/2005	03/26/2010	
Burkholderia virus phi6442	NC_009235	-	-	48674 nt	71	-	bacteria	03/30/2007	07/14/2012	
Burkholderia virus phiE122	NC_009236	-	-	36690 nt	50	-	bacteria	03/30/2007	07/14/2012	
Burkholderia virus phiE125	NC_003309	-	-	53373 nt	71	-	bacteria	12/11/2001	04/17/2009	
Burkholderia virus phiE202	NC_009234	-	-	35741 nt	48	-	bacteria	03/30/2007	07/14/2012	
Burkholderia virus phiE255	NC_009237	-	-	37446 nt	55	-	bacteria	03/30/2007	07/14/2012	
Campylobacter phage CP30A	NC_018861	-	-	133572 nt	162	-	bacteria	10/15/2012	08/21/2015	
Campylobacter phage PC14	NC_031909	strain:PC14	-	134927 nt	171	-	bacteria	11/15/2016	11/15/2016	
Campylobacter virus CP21	NC_019507	-	-	182833 nt	257	-	bacteria	08/03/2012	11/21/2012	
Campylobacter virus CP220	NC_027997	-	-	177534 nt	194	-	bacteria	04/07/2010	10/07/2015	
Campylobacter virus CPX	NC_016562	-	-	132662 nt	149	-	bacteria	01/10/2012	07/26/2016	
Campylobacter virus CPt10	NC_027996	-	-	175720 nt	196	-	bacteria	04/07/2010	10/07/2015	
Campylobacter virus NCTC12673	NC_015464	-	-	135041 nt	166	-	bacteria	05/11/2011	11/29/2011	
Caulobacter phage CcrColossus	NC_019406	-	-	279967 nt	448	-	bacteria	11/13/2012	07/08/2014	
Caulobacter phage Cr30	NC_025422	-	-	155997 nt	286	-	bacteria	11/25/2014	11/25/2014	
Caulobacter phage Percy	NC_029092	-	-	44974 nt	55	-	bacteria	02/05/2016	02/05/2016	
Caulobacter phage phiCb5	NC_019453	strain:phiCb5	-	3762 nt	4	-	bacteria	11/16/2012	11/16/2012	
Caulobacter virus Karma	NC_019410	-	-	221828 nt	353	-	bacteria	11/13/2012	07/08/2014	
Caulobacter virus Magneto	NC_019407	-	-	218929 nt	347	-	bacteria	11/13/2012	07/08/2014	
Caulobacter virus Rogue	NC_019408	-	-	223720 nt	350	-	bacteria	11/13/2012	07/08/2014	
Caulobacter virus Swift	NC_019411	-	-	219216 nt	343	-	bacteria	11/13/2012	07/08/2014	
Caulobacter virus phiCbK	NC_019405	-	-	215710 nt	338	1	bacteria	11/13/2012	07/08/2014	
Celeribacter phage P12053L	NC_018280	-	-	38889 nt	56	-	bacteria	08/06/2012	08/06/2012	
Cellulophaga phage phi10:1	NC_021802	strain:phi10:1	-	53664 nt	106	-	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi12:1	NC_021791	strain:phi12:1	-	39148 nt	64	1	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi12:2	NC_021797	strain:phi12:2	-	6453 nt	13	-	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi12a:1	NC_021805	strain:phi12a:1	-	6478 nt	13	2	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi13:2	NC_021803	strain:phi13:2	-	72369 nt	127	-	bacteria	07/23/2013	01/05/2016	
Cellulophaga phage phi14:2	NC_021806	strain:phi14:2	-	100418 nt	133	-	bacteria	07/23/2013	01/05/2016	
